GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Per capita income in the past 12 months (in 2016 inflation-adjusted dollars),Margin of Error; Per capita income in the past 12 months (in 2016 inflation-adjusted dollars)
8600000US00601,00601,ZCTA5 00601,7229,680
8600000US00602,00602,ZCTA5 00602,8570,564
8600000US00603,00603,ZCTA5 00603,10154,606
8600000US00606,00606,ZCTA5 00606,5631,590
8600000US00610,00610,ZCTA5 00610,8589,501
8600000US00612,00612,ZCTA5 00612,9789,457
8600000US00616,00616,ZCTA5 00616,8662,1094
8600000US00617,00617,ZCTA5 00617,8257,591
8600000US00622,00622,ZCTA5 00622,11671,3185
8600000US00623,00623,ZCTA5 00623,9515,618
8600000US00624,00624,ZCTA5 00624,7650,435
8600000US00627,00627,ZCTA5 00627,9271,668
8600000US00631,00631,ZCTA5 00631,6054,1567
8600000US00637,00637,ZCTA5 00637,8638,802
8600000US00638,00638,ZCTA5 00638,7114,687
8600000US00641,00641,ZCTA5 00641,8000,423
8600000US00646,00646,ZCTA5 00646,14416,989
8600000US00647,00647,ZCTA5 00647,7500,1059
8600000US00650,00650,ZCTA5 00650,7242,696
8600000US00652,00652,ZCTA5 00652,10686,1796
8600000US00653,00653,ZCTA5 00653,7070,1041
8600000US00656,00656,ZCTA5 00656,7845,529
8600000US00659,00659,ZCTA5 00659,10116,535
8600000US00660,00660,ZCTA5 00660,11432,903
8600000US00662,00662,ZCTA5 00662,8663,586
8600000US00664,00664,ZCTA5 00664,7218,686
8600000US00667,00667,ZCTA5 00667,7142,584
8600000US00669,00669,ZCTA5 00669,7994,722
8600000US00670,00670,ZCTA5 00670,6901,742
8600000US00674,00674,ZCTA5 00674,10204,435
8600000US00676,00676,ZCTA5 00676,7636,521
8600000US00677,00677,ZCTA5 00677,9472,872
8600000US00678,00678,ZCTA5 00678,8384,968
8600000US00680,00680,ZCTA5 00680,9596,883
8600000US00682,00682,ZCTA5 00682,10820,795
8600000US00683,00683,ZCTA5 00683,9599,677
8600000US00685,00685,ZCTA5 00685,7577,458
8600000US00687,00687,ZCTA5 00687,8294,574
8600000US00688,00688,ZCTA5 00688,7930,614
8600000US00690,00690,ZCTA5 00690,12086,1860
8600000US00692,00692,ZCTA5 00692,10594,1123
8600000US00693,00693,ZCTA5 00693,9622,545
8600000US00694,00694,ZCTA5 00694,6235,3918
8600000US00698,00698,ZCTA5 00698,8016,449
8600000US00703,00703,ZCTA5 00703,9477,1706
8600000US00704,00704,ZCTA5 00704,7940,1086
8600000US00705,00705,ZCTA5 00705,9133,541
8600000US00707,00707,ZCTA5 00707,8552,1179
