GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2016 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2016 inflation-adjusted dollars)
0400000US01,01,Alabama,44758,314
0400000US02,02,Alaska,74444,809
0400000US04,04,Arizona,51340,231
0400000US05,05,Arkansas,42336,234
0400000US06,06,California,63783,188
0400000US08,08,Colorado,62520,287
0400000US09,09,Connecticut,71755,473
0400000US10,10,Delaware,61017,723
0400000US11,11,District of Columbia,72935,1164
0400000US12,12,Florida,48900,200
0400000US13,13,Georgia,51037,182
0400000US15,15,Hawaii,71977,663
0400000US16,16,Idaho,49174,425
0400000US17,17,Illinois,59196,236
0400000US18,18,Indiana,50433,195
0400000US19,19,Iowa,54570,300
0400000US20,20,Kansas,53571,305
0400000US21,21,Kentucky,44811,312
0400000US22,22,Louisiana,45652,316
0400000US23,23,Maine,50826,425
0400000US24,24,Maryland,76067,423
0400000US25,25,Massachusetts,70954,343
0400000US26,26,Michigan,50803,162
0400000US27,27,Minnesota,63217,225
0400000US28,28,Mississippi,40528,258
0400000US29,29,Missouri,49593,259
0400000US30,30,Montana,48380,532
0400000US31,31,Nebraska,54384,314
0400000US32,32,Nevada,53094,378
0400000US33,33,New Hampshire,68485,579
0400000US34,34,New Jersey,73702,377
0400000US35,35,New Mexico,45674,350
0400000US36,36,New York,60741,209
0400000US37,37,North Carolina,48256,229
0400000US38,38,North Dakota,59114,853
0400000US39,39,Ohio,50674,157
0400000US40,40,Oklahoma,48038,247
0400000US41,41,Oregon,53270,327
0400000US42,42,Pennsylvania,54895,185
0400000US44,44,Rhode Island,58387,712
0400000US45,45,South Carolina,46898,307
0400000US46,46,South Dakota,52078,508
0400000US47,47,Tennessee,46574,206
0400000US48,48,Texas,54727,165
0400000US49,49,Utah,62518,349
0400000US50,50,Vermont,56104,793
0400000US51,51,Virginia,66149,285
0400000US53,53,Washington,62848,343
0400000US54,54,West Virginia,42644,410
0400000US55,55,Wisconsin,54610,201
0400000US56,56,Wyoming,59143,896
0400000US72,72,Puerto Rico,19606,168
