Organization legal name or 'doing business as' name,Group PAC ID,State,ACO PC ID 1,ACO Name 1,ACO PC ID 2,ACO Name 2,Participating in PQRS,Measure Identifier,Measure Title,Inverse Measure,Measure Performance Rate,Denominator Count,Star Value,Five Star Benchmark,Footnote,Collection Type,Reported on PC Live Site
COMMUNITY CLINICAL SERVICES INC,0042101099,ME,A14573,MaineHealth Accountable Care Organization,,,Y,,,,,,,,,,
"DERMATOLOGY and SURGERY ASSOCIATES, LLP",0042101818,NY,P021,Montefiore ACO,,,Y,,,,,,,,,,
COUNTY OF CLAY,0042101982,IL,A24144,"Physicians Accountable Care Solutions, LLC",,,Y,,,,,,,,,,
NORTHWEST FAMILY PHYSICIANS PA,0042102956,MN,A45396,North Collaborative Care,,,Y,,,,,,,,,,
HAYES GREEN BEACH MEMORIAL HOSPITAL,0042103509,MI,A17748,Southern Michigan Rural ACO,,,Y,,,,,,,,,,
HOLMES FAMILY MEDICINE INC,0042104531,OH,A03133,"Integrated Health Collaborative, LLC",,,Y,,,,,,,,,,
HERITAGE VALLEY MEDICAL GROUP INC,0042105678,PA,,,,,Y,PQRS_GRP_110_1,Preventive Care and Screening: Influenza Immunization,N,66,599,4,87,,WI,Y
HERITAGE VALLEY MEDICAL GROUP INC,0042105678,PA,,,,,Y,PQRS_GRP_111_1,Pneumonia Vaccination Status for Older Adults,N,78,616,4,93,,WI,Y
HERITAGE VALLEY MEDICAL GROUP INC,0042105678,PA,,,,,Y,PQRS_GRP_113_1,Colorectal Cancer Screening,N,49,610,3,84,,WI,Y
HERITAGE VALLEY MEDICAL GROUP INC,0042105678,PA,,,,,Y,PQRS_GRP_117_1,Diabetes: Eye Exam - National Quality Strategy,N,51,584,3,80,,WI,Y
HERITAGE VALLEY MEDICAL GROUP INC,0042105678,PA,,,,,Y,PQRS_GRP_118_1,Coronary Artery Disease (CAD): Angiotensin-Converting Enzyme (ACE) Inhibitor or Angiotensin Receptor Blocker (ARB) Therapy - Diabetes or Left Ventricular Systolic Dysfunction (LVEF < 40%),N,78,171,,,,WI,N
HERITAGE VALLEY MEDICAL GROUP INC,0042105678,PA,,,,,Y,PQRS_GRP_128_1,Preventive Care and Screening: Body Mass Index (BMI) Screening and Follow-Up Plan,N,42,616,2,93,,WI,Y
HERITAGE VALLEY MEDICAL GROUP INC,0042105678,PA,,,,,Y,PQRS_GRP_130_1,Documentation of Current Medications in the Medical Record,N,78,2384,,,,WI,N
HERITAGE VALLEY MEDICAL GROUP INC,0042105678,PA,,,,,Y,PQRS_GRP_134_1,Preventive Care and Screening: Screening for Clinical Depression and Follow-Up Plan,N,43,547,2,93,,WI,Y
HERITAGE VALLEY MEDICAL GROUP INC,0042105678,PA,,,,,Y,PQRS_GRP_204_1,Ischemic Vascular Disease (IVD): Use of Aspirin or Another Antithrombotic,N,88,577,,,,WI,N
HERITAGE VALLEY MEDICAL GROUP INC,0042105678,PA,,,,,Y,PQRS_GRP_317_1,Preventive Care and Screening: Screening for High Blood Pressure and Follow-Up Documented,N,66,350,,,,WI,N
HERITAGE VALLEY MEDICAL GROUP INC,0042105678,PA,,,,,Y,PQRS_GRP_318_1,Falls: Screening for Future Fall Risk,N,62,616,3,99,,WI,Y
ST MARYS REGIONAL MEDICAL CENTER,0042107120,ME,A14573,MaineHealth Accountable Care Organization,,,Y,,,,,,,,,,
YOUNG REHAB COMPANY PC,0042107609,MI,,,,,Y,PQRS_GRP_131_1,Pain Assessment and Follow-Up,N,92,109,,,,REG,N
YOUNG REHAB COMPANY PC,0042107609,MI,,,,,Y,PQRS_GRP_182_1,Functional Outcome Assessment,N,99,102,,,,REG,N
EDWARD HOSPITAL,0042108110,IL,A23908,"Illinois Health Partners ACO, LLC",,,Y,,,,,,,,,,
"UNIVERSITY OF MARYLAND ORTHOPAEDIC ASSOCIATES, PA.",0042108722,MD,,,,,Y,PQRS_GRP_226_1,Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention,N,89,2702,4,100,,REG,Y
HR PHYSICIAN SERVICES,0042109902,PA,A74161,Delaware Valley ACO,,,Y,,,,,,,,,,
HEART CENTER OF NEVADA,0042111825,NV,A15030,Silver State ACO LLC,,,Y,,,,,,,,,,
AMERICAN ANESTHESIOLOGY OF NEW JERSEY PC,0042112500,NJ,,,,,Y,PQRS_GRP_76_1,Prevention of Central Venous Catheter (CVC)-Related Bloodstream Infections,N,98,844,,,,REG,N
LOUDOUN MEDICAL GROUP PC,0042119661,VA,A36039,Loudoun Medical Group ACO LLC,,,Y,,,,,,,,,,
NORTH MEMORIAL HEALTH CARE,0042123028,MN,A45396,North Collaborative Care,,,Y,,,,,,,,,,
MARY IMMACULATE HOSPITAL,0042124042,VA,A22020,Good Help ACO,,,Y,,,,,,,,,,
FRANKLIN MEDICAL GROUP PC,0042124174,CT,A71640,Valley Health Alliance,,,Y,,,,,,,,,,
WEST RIVER HEALTH SERVICES,0042127045,ND,A48401,PrimeCare Select,,,Y,,,,,,,,,,
CITY OF CLINTON,0042203127,IL,A85343,IRCCO,,,Y,,,,,,,,,,
UNIVERSITY DERMATOLOGY INC,0042204059,IN,A43014,"Indiana University Health ACO, Inc.",,,Y,,,,,,,,,,
UPPER BUCKS ORTHOPAEDIC ASSOCIATION,0042205536,PA,,,,,Y,PQRS_GRP_21_1,Perioperative Care: Selection of Prophylactic Antibiotic - First OR Second Generation Cephalosporin,N,99,300,,,,REG,N
UPPER BUCKS ORTHOPAEDIC ASSOCIATION,0042205536,PA,,,,,Y,PQRS_GRP_226_1,Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention,N,99,3097,4,100,,REG,Y
UPPER BUCKS ORTHOPAEDIC ASSOCIATION,0042205536,PA,,,,,Y,PQRS_GRP_22_1,Perioperative Care: Discontinuation of Prophylactic Parenteral Antibiotics (Non-Cardiac Procedures),N,97,300,,,,REG,N
UPPER BUCKS ORTHOPAEDIC ASSOCIATION,0042205536,PA,,,,,Y,PQRS_GRP_23_1,Perioperative Care: Venous Thromboembolism (VTE) Prophylaxis (When Indicated in ALL Patients),N,96,300,,,,REG,N
"FAMILY MEDICINE SPECIALISTS, INCORPORATED",0042206252,IL,A28708,"Advocate Physician Partners Accountable Care, Inc.",,,Y,,,,,,,,,,
SIDNEY P SMITH MD PC,0042206807,GA,,,,,Y,PQRS_GRP_137_1,Melanoma: Continuity of Care - Recall System,N,100,186,,,,REG,N
SIDNEY P SMITH MD PC,0042206807,GA,,,,,Y,PQRS_GRP_224_1,Melanoma: Overutilization of Imaging Studies in Melanoma,N,100,148,,,,REG,N
SIDNEY P SMITH MD PC,0042206807,GA,,,,,Y,PQRS_GRP_226_1,Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention,N,100,5476,5,100,,REG,Y
SIDNEY P SMITH MD PC,0042206807,GA,,,,,Y,PQRS_GRP_265_1,Biopsy Follow-Up,N,100,1316,,,,REG,N
SIDNEY P SMITH MD PC,0042206807,GA,,,,,Y,PQRS_GRP_337_1,Tuberculosis Prevention for Psoriasis and Psoriatic Arthritis Patients on a Biological Immune Response Modifier,N,100,132,,,,REG,N
"THE HEALTH GROUP OF MCMINNVILLE, P.C.",0042209686,TN,A98813,Cumberland Center for Healthcare Innovation,,,Y,,,,,,,,,,
"COASTAL CARDIOVASCULAR CONSULTANTS, PA",0042223778,NJ,A69939,"Meridian Accountable Care Organization, LLC",,,Y,,,,,,,,,,
CLIFFSIDE MEDICAL LLC,0042230740,NJ,A38167,"North Jersey ACO, LLC",,,Y,,,,,,,,,,
ABBAS A. SHEHADEH MD PA,0042230765,NJ,A69078,"NEPA ACO Company, LLC",,,Y,,,,,,,,,,
"NORTHWEST COLON and RECTAL SURGERY, P.A.",0042242034,TX,A44499,Baylor St. Luke's Health Network ACO,,,Y,,,,,,,,,,
"RADIATION THERAPY ASSOCIATES OF WESTERN NORTH CAROLINA, PA",0042246050,NC,A39107,"Mission Health Partners, Inc.",,,Y,,,,,,,,,,
"FAMILY CARE PHYSICIAN, P.C.",0042249328,NY,A04423,"Catholic Medical Partners-Accountable Care IPA, Inc.",,,Y,,,,,,,,,,
"BARTELS,POWALSKI and WEISSMAN, MDS,PC",0042252595,NY,A04423,"Catholic Medical Partners-Accountable Care IPA, Inc.",,,Y,,,,,,,,,,
"NEUROSURGICAL ASSOCIATES OF CENTRAL NEW YORK, LLP",0042271520,NY,,,,,Y,PQRS_GRP_226_1,Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention,N,90,1212,4,100,,REG,Y
HAND and PLASTIC SURGERY CENTRE PLC,0042272940,MI,NG448,Trinity Health ACO Inc.,,,Y,,,,,,,,,,
BLUE HILLS MEDICAL ASSOCIATES,0042277667,MA,A35510,"NEQCA Accountable Care, Inc.",,,Y,,,,,,,,,,
JAY H SANDBERG DO PC,0042279739,MI,A76825,Reliance ACO LLC,,,Y,,,,,,,,,,
ARTHRITIS GROUP PC,0042282360,PA,A74449,Quality Health Alliance-ACO LLC,,,Y,,,,,,,,,,
SUNFLOWER MEDICAL GROUP PA,0042286106,KS,A05696,"KCMPA-ACO, LLC",,,Y,,,,,,,,,,
"SOUTHERN UROLOGY, P. A.",0042287575,MS,,,,,Y,PQRS_GRP_145_1,Radiology: Exposure Time Reported for Procedures Using Fluoroscopy,N,100,120,,,,REG,N
"SOUTHERN UROLOGY, P. A.",0042287575,MS,,,,,Y,PQRS_GRP_226_1,Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention,N,82,971,3,100,,REG,Y
"SOUTHERN UROLOGY, P. A.",0042287575,MS,,,,,Y,PQRS_GRP_238_1,Use of High-Risk Medications in the Elderly,Y,0,813,5,0,,REG,Y
"SOUTHERN UROLOGY, P. A.",0042287575,MS,,,,,Y,PQRS_GRP_48_1,Urinary Incontinence: Assessment of Presence or Absence of Urinary Incontinence in Women Aged 65 Years and Older,N,77,166,4,100,,REG,Y
DERMATOLOGY ASSOCIATES OF NORTHWEST FLORIDA PA,0042287872,FL,,,,,Y,PQRS_GRP_137_1,Melanoma: Continuity of Care - Recall System,N,97,89,,,,REG,N
DERMATOLOGY ASSOCIATES OF NORTHWEST FLORIDA PA,0042287872,FL,,,,,Y,PQRS_GRP_138_1,Melanoma: Coordination of Care,N,100,25,,,,REG,N
DERMATOLOGY ASSOCIATES OF NORTHWEST FLORIDA PA,0042287872,FL,,,,,Y,PQRS_GRP_224_1,Melanoma: Overutilization of Imaging Studies in Melanoma,N,100,104,,,,REG,N
DERMATOLOGY ASSOCIATES OF NORTHWEST FLORIDA PA,0042287872,FL,,,,,Y,PQRS_GRP_226_1,Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention,N,100,199,5,100,,REG,Y
DERMATOLOGY ASSOCIATES OF NORTHWEST FLORIDA PA,0042287872,FL,,,,,Y,PQRS_GRP_265_1,Biopsy Follow-Up,N,100,74,,,,REG,N
